service,severity
Pasarela_Pagos,WARNING
Centinela_Servidor,WARNING
gestor-identidad,WARNING
gestor-identidad,WARNING
gestor-identidad,WARNING
gestor-identidad,WARNING
gestor-identidad,WARNING
gestor-identidad,WARNING
gestor-identidad,WARNING
gestor-identidad,WARNING
gestor-identidad,WARNING
gestor-identidad,WARNING
gestor-identidad,WARNING
gestor-identidad,WARNING
gestor-identidad,WARNING
Centinela_Servidor,WARNING
Pasarela_Pagos,WARNING
Pasarela_Pagos,WARNING
Pasarela_Pagos,WARNING
Pasarela_Pagos,WARNING
Pasarela_Pagos,WARNING
Pasarela_Pagos,WARNING
Pasarela_Pagos,WARNING
Pasarela_Pagos,WARNING
Pasarela_Pagos,WARNING
Pasarela_Pagos,WARNING
Centinela_Servidor,WARNING
Centinela_Servidor,WARNING
Centinela_Servidor,WARNING
Pasarela_Pagos,WARNING
Centinela_Servidor,WARNING
Pasarela_Pagos,WARNING
Centinela_Servidor,WARNING
Centinela_Servidor,WARNING
Pasarela_Pagos,WARNING
Centinela_Servidor,WARNING
Centinela_Servidor,WARNING
gestor-identidad,WARNING
Pasarela_Pagos,WARNING
gestor-identidad,WARNING
Centinela_Servidor,WARNING
gestor-identidad,WARNING
Centinela_Servidor,WARNING
Centinela_Servidor,WARNING
Centinela_Servidor,WARNING
gestor-identidad,WARNING
Pasarela_Pagos,WARNING
gestor-identidad,WARNING
Pasarela_Pagos,WARNING
gestor-identidad,WARNING
